transaction_id,date,city,branch,shop_name,product_id,product_category,unit_price,qty,total_revenue,profit_margin
CUS1001,30/01/2022,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3,2,6,2.1
CUS1002,09/04/2023,Los Angeles,Venice Beach,Coffee House,SND001,Cold Drinks,3.1,2,6.2,2.17
CUS1003,23/05/2022,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,4.5,2,9,3.15
CUS1004,17/09/2022,Los Angeles,Venice Beach,Beach Cafe,TEA001,Tea Beverages,2,1,2,0.7
CUS1005,04/06/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,DES001,Cold Drinks,3.1,2,6.2,2.17
CUS1006,02/07/2023,Chicago,Michigan Avenue,Loop Latte Lounge,SPC001,Snacks,3,1,3,1.05
CUS1007,18/10/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,TEA001,Snacks,2,1,2,0.7
CUS1008,01/02/2022,New York,Brooklyn,Beanery,TEA001,Snacks,2,2,4,1.4
CUS1009,27/09/2023,Chicago,Madison Street,Park Brew,DES001,Coffee Beverages,4.25,1,4.25,1.4875
CUS1010,12/12/2021,Seattle,Capitol Hill,Brew Cafe,TEA001,Desserts,3.5,2,7,2.45
CUS1011,17/07/2021,Los Angeles,Capitol Hill,Espresso,SKT001,Snacks,2.55,1,2.55,0.8925
CUS1012,31/08/2021,Los Angeles,Venice Beach,Coffee House,SPC001,Tea Beverages,3.5,2,7,2.45
CUS1013,10/11/2021,New York,Brooklyn,Beanery,COF001,Snacks,3,1,3,1.05
CUS1014,22/10/2021,New York,Central Park,TSQ Brew,SPC001,Snacks,3.1,1,3.1,1.085
CUS1015,06/04/2021,New York,Brooklyn,Sip & Savor,COF001,Cold Drinks,3,2,6,2.1
CUS1016,16/10/2022,Austin,Zilker Park,Lakeside Brew ,SPC001,Sandwiches ,3,2,6,2.1
CUS1017,28/05/2021,Los Angeles,Hollywood Hills,Hills Cafe,DES001,Desserts,3.75,1,3.75,1.3125
CUS1018,17/05/2023,New York,Brooklyn,Beanery,DES001,Specialty Drinks,2.5,1,2.5,0.875
CUS1019,03/08/2022,Chicago,Madison Street,Park Brew,TEA001,Cold Drinks,4.5,2,9,3.15
CUS1020,06/10/2023,Chicago,Michigan Avenue,Loop Latte Lounge,SND001,Tea Beverages,4.75,1,4.75,1.6625
CUS1021,07/06/2021,Austin,Zilker Park,Lakeside Brew ,SND001,Specialty Drinks,3.5,2,7,2.45
CUS1022,07/12/2022,Austin,Central Park,Suburban Sip Spot,COF001,Specialty Drinks,2.55,2,5.1,1.785
CUS1023,15/10/2023,Austin,Zilker Park,Lakeside Brew ,COF001,Sandwiches ,3.25,1,3.25,1.1375
CUS1024,01/10/2022,Austin,Central Park,Delight Caf‚,SKT001,Tea Beverages,2.55,1,2.55,0.8925
CUS1025,19/10/2022,Los Angeles,Capitol Hill,Espresso,SKT001,Snacks,3.75,1,3.75,1.3125
CUS1026,10/11/2021,Austin,Central Park,Delight Caf‚,DES001,Desserts,3,1,3,1.05
CUS1027,09/06/2021,Chicago,Michigan Avenue,Loop Latte Lounge,CLD001,Tea Beverages,3.5,1,3.5,1.225
CUS1028,21/04/2021,New York,Brooklyn,Sip & Savor,SKT001,Desserts,3,2,6,2.1
CUS1029,15/12/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3.75,1,3.75,1.3125
CUS1030,27/09/2022,Austin,Central Park,Delight Caf‚,COF001,Desserts,3.75,2,7.5,2.625
CUS1031,12/10/2023,Seattle,Capitol Hill,Brew Cafe,COF001,Tea Beverages,3.75,1,3.75,1.3125
CUS1032,21/04/2023,Los Angeles,Hollywood Hills,Hills Cafe,SKT001,Tea Beverages,3,1,3,1.05
CUS1033,12/08/2022,Austin,Central Park,Suburban Sip Spot,CLD001,Tea Beverages,3.5,2,7,2.45
CUS1034,09/09/2023,Chicago,Madison Street,Park Roaste,COF001,Desserts,2.5,2,5,1.75
CUS1035,16/10/2022,Austin,Central Park,Delight Caf‚,DES001,Specialty Drinks,2.5,1,2.5,0.875
CUS1036,25/04/2023,Los Angeles,Venice Beach,Coffee House,DES001,Desserts,3,1,3,1.05
CUS1037,13/09/2021,Austin,Central Park,Suburban Sip Spot,SPC001,Specialty Drinks,4,1,4,1.4
CUS1038,27/04/2022,Los Angeles,Hollywood Hills,Hills Cafe,DES001,Tea Beverages,3.75,2,7.5,2.625
CUS1039,21/06/2021,Austin,Zilker Park,Lakeside Brew ,CLD001,Tea Beverages,3,1,3,1.05
CUS1040,15/04/2023,Austin,Zilker Park,Lakeside Brew ,TEA001,Specialty Drinks,3,2,6,2.1
CUS1041,20/11/2021,Los Angeles,Hollywood Hills,Hills Cafe,SND001,Specialty Drinks,3,1,3,1.05
CUS1042,20/05/2021,Austin,Central Park,Delight Caf‚,SKT001,Snacks,3.75,2,7.5,2.625
CUS1043,12/10/2023,New York,Central Park,C P Coffee ,TEA001,Snacks,4.5,1,4.5,1.575
CUS1044,21/01/2023,Los Angeles,Venice Beach,Coffee House,SPC001,Cold Drinks,2.55,1,2.55,0.8925
CUS1045,24/11/2023,Austin,Central Park,Suburban Sip Spot,TEA001,Desserts,3,1,3,1.05
CUS1046,08/07/2022,New York,Central Park,TSQ Brew,COF001,Snacks,2.5,1,2.5,0.875
CUS1047,27/02/2023,Los Angeles,Capitol Hill,Espresso,DES001,Desserts,2.55,2,5.1,1.785
CUS1048,03/08/2022,New York,Central Park,TSQ Brew,CLD001,Cold Drinks,2.5,1,2.5,0.875
CUS1049,23/11/2023,Los Angeles,Venice Beach,Coffee House,COF001,Specialty Drinks,2.5,1,2.5,0.875
CUS1050,11/09/2023,Los Angeles,Venice Beach,Beach Cafe,COF001,Specialty Drinks,2.5,1,2.5,0.875
CUS1051,11/10/2021,Seattle,Capitol Hill,Brew Cafe,CLD001,Coffee Beverages,3,1,3,1.05
CUS1052,25/09/2021,Seattle,Capitol Hill,Brew Cafe,DES001,Cold Drinks,3,2,6,2.1
CUS1053,01/03/2021,Seattle,Capitol Hill,Brew Cafe,CLD001,Desserts,3,2,6,2.1
CUS1054,18/06/2023,Austin,Central Park,Delight Caf‚,SKT001,Tea Beverages,2.2,2,4.4,1.54
CUS1055,06/03/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SPC001,Cold Drinks,4.5,1,4.5,1.575
CUS1056,12/03/2023,Austin,Central Park,Suburban Sip Spot,SPC001,Coffee Beverages,3.75,1,3.75,1.3125
CUS1057,11/03/2023,Los Angeles,Capitol Hill,Espresso,SPC001,Cold Drinks,3,1,3,1.05
CUS1058,11/09/2022,New York,Central Park,C P Coffee ,SND001,Sandwiches ,2.45,1,2.45,0.8575
CUS1059,28/04/2023,New York,Central Park,C P Coffee ,CLD001,Sandwiches ,3.75,2,7.5,2.625
CUS1060,14/06/2022,Austin,Central Park,Delight Caf‚,DES001,Snacks,3.5,1,3.5,1.225
CUS1061,07/08/2022,New York,Brooklyn,Beanery,SND001,Cold Drinks,3,1,3,1.05
CUS1062,04/10/2023,Seattle,Capitol Hill,Brew Cafe,SKT001,Coffee Beverages,4.25,2,8.5,2.975
